Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Exchange
QQQC,Global X NASDAQ China Technology ETF,25.3,$20.24M,n/a,n/a,n/a,NASDAQ
BOTZ,Global X Robotics & Artificial Intelligence ETF,19.145,n/a,n/a,n/a,n/a,NASDAQ
CATH,Global X S&P 500 Catholic Values ETF,29.89,n/a,n/a,n/a,n/a,NASDAQ
SOCL,Global X Social Media ETF,28.93,$120.06M,n/a,n/a,n/a,NASDAQ
ALTY,Global X SuperDividend Alternatives ETF,15.51,n/a,n/a,n/a,n/a,NASDAQ
SRET,Global X SuperDividend REIT ETF,15.1056,$3.02M,n/a,n/a,n/a,NASDAQ
YLCO,Global X Yieldco Index ETF,11.94,$2.99M,n/a,n/a,n/a,NASDAQ
GLBS,Globus Maritime Limited,1.27,$35.09M,n/a,Transportation,Marine Transportation,NASDAQ
GLUU,Glu Mobile Inc.,2.695,$363.13M,2007,Technology,EDP Services,NASDAQ
GLYC,"GlycoMimetics, Inc.",11.05,$361.23M,2014,Health Care,Major Pharmaceuticals,NASDAQ
GOGO,Gogo Inc.,11.59,$1B,2013,Consumer Services,Telecommunications Equipment,NASDAQ
GLNG,Golar LNG Limited,22.53,$2.28B,n/a,Consumer Services,Marine Transportation,NASDAQ
GMLP,Golar LNG Partners LP,20.01,$1.39B,2011,Consumer Services,Marine Transportation,NASDAQ
GDEN,"Golden Entertainment, Inc.",16.89,$375.83M,n/a,Consumer Services,Services-Misc. Amusement & Recreation,NASDAQ
GOGL,Golden Ocean Group Limited,5.68,$656.81M,n/a,Consumer Services,Marine Transportation,NASDAQ
GBDC,"Golub Capital BDC, Inc.",20.01,$1.15B,2010,n/a,n/a,NASDAQ
GTIM,Good Times Restaurants Inc.,3.4,$41.81M,n/a,Consumer Services,Restaurants,NASDAQ
GPRO,"GoPro, Inc.",8.585,$1.24B,2014,Miscellaneous,Industrial Machinery/Components,NASDAQ
GSHT,"Gores Holdings II, Inc.",10.01,$400.4M,2017,Finance,Business Services,NASDAQ
GSHTU,"Gores Holdings II, Inc.",10.4,n/a,2017,Finance,Business Services,NASDAQ
GSHTW,"Gores Holdings II, Inc.",1.3,n/a,2017,Finance,Business Services,NASDAQ
GOV,Government Properties Income Trust,22.19,$1.58B,2009,Finance,Real Estate,NASDAQ
GOVNI,Government Properties Income Trust,25.45,n/a,n/a,Finance,Real Estate,NASDAQ
GPIA,GP Investments Acquisition Corp.,10.05,$216.7M,2015,Consumer Durables,Home Furnishings,NASDAQ
GPIAU,GP Investments Acquisition Corp.,10.98,n/a,2015,Consumer Durables,Home Furnishings,NASDAQ
GPIAW,GP Investments Acquisition Corp.,0.5274,n/a,2015,Consumer Durables,Home Furnishings,NASDAQ
LOPE,"Grand Canyon Education, Inc.",78.94,$3.78B,2008,Consumer Services,Other Consumer Services,NASDAQ
GRVY,"GRAVITY Co., Ltd.",18.075,$62.8M,2005,Miscellaneous,Business Services,NASDAQ
FULLL,Great Elm Capital Corp.,25.84,n/a,n/a,n/a,n/a,NASDAQ
GECC,Great Elm Capital Corp.,10.33,$120.25M,n/a,n/a,n/a,NASDAQ
GEC,"Great Elm Capital Group, Inc. ",3.375,$78.3M,n/a,Technology,Computer Software: Prepackaged Software,NASDAQ
GLDD,Great Lakes Dredge & Dock Corporation,4.15,$254.28M,n/a,Basic Industries,Military/Government/Technical,NASDAQ
GSBC,"Great Southern Bancorp, Inc.",49.75,$698.14M,1989,Finance,Major Banks,NASDAQ
GNBC,"Green Bancorp, Inc.",19,$706.66M,2014,Finance,Major Banks,NASDAQ
GRBK,"Green Brick Partners, Inc.",10.5,$515.23M,n/a,Capital Goods,Homebuilding,NASDAQ
GPP,Green Plains Partners LP,19.25,$612.16M,2015,Basic Industries,Major Chemicals,NASDAQ
GPRE,"Green Plains, Inc.",23.25,$930.23M,n/a,Basic Industries,Major Chemicals,NASDAQ
GCBC,"Greene County Bancorp, Inc.",24.75,$210.44M,n/a,Finance,Banks,NASDAQ
GLRE,"Greenlight Reinsurance, Ltd.",20.35,$761.88M,2007,Finance,Property-Casualty Insurers,NASDAQ
GSUM,Gridsum Holding Inc.,10.19,$303M,2016,Technology,Computer Software: Prepackaged Software,NASDAQ
GRIF,"Griffin Industrial Realty, Inc.",32.02,$160.12M,n/a,Finance,Real Estate,NASDAQ
